circ,co_cep,plq,pq,caq,qs,autres,anglos,francos,allos
Marquette,407,0.4915,0.2141,0.1954,0.0523,0.0467,0.3735432791,0.5310915399,0.095365181
Jacques-Cartier,409,0.7311,0.0367,0.1492,0.0256,0.0574,0.6834139903,0.2287725473,0.0879014518
Nelligan,411,0.6632,0.0897,0.1847,0.0233,0.0391,0.5117263392,0.3610879822,0.127116292
Robert-Baldwin,413,0.7521,0.0534,0.1298,0.0292,0.0355,0.5577448987,0.2338545684,0.2084706542
Saint-Laurent,417,0.6569,0.1133,0.1432,0.05,0.0366,0.2762608636,0.3782248683,0.3455142681
Mont-Royal,419,0.6617,0.0891,0.1328,0.0683,0.0481,0.3148649638,0.3322842714,0.3528507648
Outremont,421,0.4152,0.232,0.14,0.1802,0.0326,0.2210150937,0.5478520484,0.2311328579
Laurier-Dorion,423,0.341,0.2639,0.0979,0.2434,0.0538,0.110704023,0.5027298851,0.386566092
Viau,427,0.4724,0.2371,0.1242,0.1156,0.0507,0.0759413397,0.5533095521,0.3706698375
Jeanne-Mance–Viger,429,0.6544,0.1338,0.1449,0.0506,0.0163,0.2445293765,0.4294064748,0.3260641487
Bourassa-Sauvé,431,0.4223,0.2723,0.1737,0.1026,0.0291,0.0836085154,0.6853087894,0.2311529544
Crémazie,433,0.2884,0.3861,0.171,0.1157,0.0388,0.0573529412,0.7908496732,0.151879085
Acadie,437,0.5565,0.1722,0.1746,0.0801,0.0166,0.1555638536,0.4479462285,0.3964899178
Laval-des-Rapides,439,0.3279,0.3785,0.2172,0.0413,0.0351,0.0674224792,0.8142503191,0.1183272017
Chomedey,441,0.5709,0.1679,0.1924,0.0355,0.0333,0.2256476291,0.4777306469,0.296621724
Fabre,443,0.3766,0.2788,0.2768,0.0354,0.0324,0.1579231046,0.7220625225,0.1199245419
Sainte-Rose,447,0.2855,0.3486,0.2958,0.0436,0.0265,0.0792729755,0.8429046847,0.0778223398
Vimont,449,0.3748,0.3052,0.2469,0.0397,0.0334,0.1379857997,0.7841928251,0.0777279522
Mille-Îles,451,0.3736,0.3181,0.2328,0.0473,0.0282,0.1138594032,0.8045263369,0.0817144002
Terrebonne,453,0.1319,0.4454,0.36,0.0322,0.0305,0.0214979726,0.9632009793,0.0153010481
Masson,465,0.1115,0.4615,0.3568,0.0338,0.0364,0.0230462822,0.968038695,0.0089150228
Blainville,473,0.1586,0.3564,0.4117,0.0391,0.0342,0.0374955277,0.947549195,0.0149552773
Groulx,481,0.1997,0.3401,0.3802,0.0431,0.0369,0.0649230987,0.9007725565,0.0343043447
Deux-Montagnes,483,0.1796,0.3881,0.3523,0.0412,0.0388,0.0847749376,0.9015405801,0.0136844823
Mirabel,495,0.1306,0.4377,0.3635,0.0381,0.0301,0.0251239938,0.9689405643,0.0060167493
Saint-Jérôme,505,0.1256,0.3774,0.3996,0.0717,0.0257,0.0086026692,0.9770059495,0.0143913813
Rousseau,515,0.12,0.4164,0.3915,0.0501,0.022,0.0299784274,0.9631778621,0.0068437105
Bertrand,525,0.1734,0.4158,0.3195,0.0536,0.0377,0.0567233633,0.9358953787,0.0074614891
Argenteuil,535,0.2905,0.3853,0.2647,0.0265,0.033,0.1613035039,0.8325671672,0.0059250179
Labelle,545,0.1697,0.5067,0.2393,0.0576,0.0267,0.0306781485,0.9625044851,0.0069070685
Papineau,553,0.3477,0.3416,0.2199,0.0539,0.0369,0.0654048524,0.9255334697,0.0091347559
Gatineau,557,0.4558,0.2742,0.188,0.0448,0.0372,0.1880754381,0.7967775468,0.0151470151
Chapleau,559,0.4204,0.2605,0.2333,0.0493,0.0365,0.071116209,0.8826439171,0.0462398738
Hull,561,0.3948,0.3208,0.1595,0.0794,0.0455,0.1081339713,0.8122929702,0.0795730585
Pontiac,563,0.5663,0.1612,0.1806,0.0522,0.0397,0.4414784394,0.5314852841,0.0270362765
Rouyn-Noranda–Témiscamingue,567,0.2649,0.3678,0.237,0.0976,0.0327,0.0561196736,0.9393472348,0.0046237534
Abitibi-Ouest,573,0.1873,0.5136,0.2026,0.0536,0.0429,0.0083549735,0.9871288247,0.0045162019
Abitibi-Est,579,0.3485,0.3839,0.1849,0.0477,0.035,0.0208983906,0.9674513572,0.0116502522
Laviolette,583,0.4318,0.3084,0.1952,0.0376,0.027,0.003916303,0.931968222,0.0640035806
