Circonscription,Voteurs enregistrés,Votes rejetés,B.P.,C.A.Q.-É.F.L.,C.C.,É.A.,O.N.,P.C.M.Q.,P.CO.Q.,P.Éq.,P.I.,P.L.Q./Q.L.P.,P.M.L.Q.,P.N.,P.Q.,P.U.N.,P.V.Q./G.P.Q.,Q.R.D.,Q.S.,U.C.Q./Q.C.U.,IND1,IND2,
LAVIOLETTE,35793,464,,4929,,,492,,,,,10903,66,,7788,,,,949,,124,,
LÉVIS,46455,426,,14528,,76,669,242,259,126,,11255,,,7302,75,,,1894,,,,
LOTBINIÈRE-FRONTENAC,53843,671,,12725,,,,,,,,17681,,,8629,,,,1783,,,,
LOUIS-HÉBERT,44263,320,,12513,209,70,704,,147,,,14601,,226,8090,,,,1359,48,,,
MARGUERITE-BOURGEOYS,51493,426,,6110,,,543,,,,,19993,124,,6944,,,,1434,,,,
MARIE-VICTORIN,46478,478,,7089,244,,832,,,,94,5773,,,15506,,648,,2711,,,,
MARQUETTE,44812,363,,6101,,,446,,,,,15343,,,6683,,1012,,1631,,,,
MASKINONGÉ,47278,450,,10907,121,81,789,233,,,,11676,,,10888,,389,,1334,,,,
MASSON,49058,546,,13674,134,,716,,,,,4274,,,17687,,545,,1294,,,,
MATANE-MATAPÉDIA,47613,273,,5322,,127,440,,,,,6273,,,19767,,348,,1233,,,,
MÉGANTIC,38548,362,,7260,,,473,,,,,9946,,,8847,,,,1531,,178,106,
MERCIER,40069,252,,3336,,,722,,,,,4091,,,7138,,859,,14164,,,,
MILLE-ÎLES,41596,337,,7420,,,352,,,,,11908,,,10138,,376,,1508,52,121,,
MIRABEL,57581,661,,16167,,,988,,,,,5809,,,19467,,,,1694,,,,353
MONTARVILLE,51772,383,,16083,,,877,,205,,,10983,,,14175,,633,,2010,,,,
MONTMORENCY,54942,559,,16239,,158,755,417,,,99,14117,,,8706,,,,1460,,523,,
MONT-ROYAL,41431,266,,3391,177,,383,,,,,16894,71,,2276,,597,,1743,,,,
NELLIGAN,56909,238,,7664,,,293,,,,,27511,,,3719,,1239,,967,91,,,
NICOLET-BÉCANCOUR,39304,451,,9745,,,7869,,348,,,6840,,,5644,,,,,,,,
NOTRE-DAME-DE-GRÂCE,39652,208,,3615,,,237,,,,,16560,74,,2223,,1531,,2314,,,,
ORFORD,40443,297,,7558,134,,356,,,,,11448,,,9560,,554,,1687,,,,
OUTREMONT,39022,245,,3691,47,,451,,,,,10949,,243,6119,,,,4751,120,,,
PAPINEAU,56794,399,,8218,,,574,,,,,12996,115,446,12769,,,,2013,,246,,
POINTE-AUX-TREMBLES,40691,423,,7425,,,672,,,,109,4737,73,,15315,,,,1811,,565,,
PONTIAC,48697,262,,5417,,,223,,,,,16983,61,,4835,,906,,1565,,,,
PORTNEUF,40339,375,,12605,,,534,,403,,,10402,,,5568,,,,932,,567,,
RENÉ-LÉVESQUE,34575,204,,3643,,,517,,,,,4160,,,13634,,,,892,,,,
REPENTIGNY,50547,503,,15525,,,948,,,,,6217,,,16763,,,,1730,,,,
RICHELIEU,44088,634,,10873,,,1065,,,,,6128,,,14414,,,,1084,,,,
RICHMOND,57423,564,,9741,201,,810,,,,,15962,,,15693,,684,,1858,,,,
RIMOUSKI,44073,244,,5682,,,908,,,,,7268,,179,15951,,624,,2409,,,,
RIVIÈRE-DU-LOUP-TÉMISCOUATA,50795,427,,6946,135,,410,,,,,15308,,,12857,,645,,1112,,,,
ROBERT-BALDWIN,54033,231,,4817,,,194,,,,,27904,,,1982,,984,,1083,138,,,
ROBERVAL,45012,407,,6242,,,488,,,,,9157,,,15069,,,,1302,,,,
ROSEMONT,51073,473,220,6657,160,,1075,,,,,7837,126,,16689,,,,5567,,,,
ROUSSEAU,60795,690,,16952,,,530,,,,189,5196,,,18029,,,,2167,,232,,
ROUYN-NORANDA-TÉMISCAMINGUE,44179,359,,7140,,,534,,,,,7983,,,11082,,451,,2941,,,,
SAINTE-MARIE-SAINT-JACQUES,42283,305,,4215,,,880,146,,,,5528,60,,10195,,,,7252,86,123,32,
SAINTE-ROSE,49539,446,,11460,,,764,,,,,11059,,,13505,,,,1689,,263,,
SAINT-FRANÇOIS,55274,575,,7615,,,930,,,,,15243,,,15353,123,807,,2111,,,,
SAINT-HENRI-SAINTE-ANNE,53934,612,,5573,,,827,,,,,13893,,,11587,167,,,4084,,,,
