Circonscription,B.P.,C.A.Q.-É.F.L.,C.C.,É.A.,O.N.,P.C.M.Q.,P.CO.Q.,P.Éq.,P.I.,P.L.Q./Q.L.P.,P.M.L.Q.,P.N.,P.Q.,P.U.N.,P.V.Q./G.P.Q.,Q.R.D.,Q.S.,U.C.Q./Q.C.U.,IND1,IND2,
DUBUC,,François Tremblay,,,David Girard,,,,,Serge Simard,,,Jean-Marie Claveau,,,,Marie Francine Bienvenue,,Pascal Tremblay,Charles-Olivier B. Tremblay,
DUPLESSIS,,Gervais Gagné,Marc Fafard,,Yan Rivard,,,,,Lise Pelletier,,,Lorraine Richard,,,,Jacques Gélineau,,Alain Magnan,,
FABRE,,Dominique Anglade,,,Bruno Forget,,,,,Gilles Ouimet,,,François-Gycelain Rocque,,Jean-François Lepage,,Wilfried Cordeau,,Philippe Mayrand,,
GASPÉ,,Yvan Blanchard,,,Frédérick DeRoy,,,,,Georges Mamelonet,,,Gaetan Lelièvre,,,,Éric Boucher,,,,
GATINEAU,,Michel Halloran,,,Nicolas Lepage,,,,,Stéphanie Vallée,Yvon Breton,,Maude Tremblay,,Brandon Bolduc,,Francis Da Silva-Casimiro,,,,
GOUIN,,Bernard Labadie,,,,,,,,Anson Duran,,,Nicolas Girard,Gilles Guibord,Sameer Muldeen,,Françoise David,,,,
GRANBY,,François Bonnardel,Francine St-Onge,,Jocelyn Beaudoin,,Stéphane Gagné,,,Guy Gaudord,,Stéphane Deschamps,Luc Perron,,,,Eric Bédard,,,,
GROULX,,Hélène Daneault,,,Alain Marginean,,,,,Linda Lapointe,,,Raymond Archambault,,Alec Ware,,Sylvie Giguère,,Alex Munteanu,,
HOCHELAGA-MAISONNEUVE,,David Monette,Jean-François Jetté,,André Lamy,,,,Serge Provost,Alexandre Farley,Christine Dandenault,Denis Poulin,Carole Poirier,,Nicholas Kulak,,Alexandre Leduc,,,,
HULL,,Étienne Boulrice,,,Mikaël St-Louis,,,,,Maryse Gaudreault,Gabriel Girard Bernier,Marc Fiset,Gilles Aubé,,Jozyam Ilsa Fontaine,,Bill Clennett,Kamal Maghri,,,
HUNTINGDON,,Claire Isabelle,Antoine-Marie Bourdon,,Éric Paré,,Maxime Collette,,,Stéphane Billette,,,Gaétan Arel,,Nicholas Roach,,Carmen Labelle,Steven Gomory,,,
IBERVILLE,,Claire Samson,,,Claude Chagnon,,,,,Alain Ménard,,,Marie Bouillé,,Marie-France Allard,,Myriam-Zaa Normandin,,,,
ÎLES-DE-LA-MADELEINE,,Georges Painchaud,,,Jonathan Godin,,,,,Germain Chevarie,,,Jeannine Richard,,,,Yvonne Langford,,,,
JACQUES-CARTIER,,Paola L. Hawa,,,Raphaël Hébert,,,,,Geoffrey Kelley,,,Olivier Gendreau,,Alex Tyrrell,,François-Xavier Charlebois,Ágnes Mina Barti,Francis Juneau,,
JEAN-LESAGE,,Johanne Lapointe,,Steve Nadeau,Christian St-Pierre,,,,,André Drolet,Claude Moreau,,Pierre Châteauvert,Oxana Vassiltchenko,,,Élaine Hémond,Simon Beaudoin,Debelle Michel,,
JEANNE-MANCE-VIGER,,Jean-François Gagné,,,Julie Surprenant,,,,,Filomena Rotiroti,Garnet Colly,,Nicolas Bonami,,,,Marie-Chantal Locas,,,,
JEAN-TALON,,Hugues Beaulieu,,Stéphane Pouleur,Guillaume Langlois,,,,,Yves Bolduc,,,Neko Likongo,,,,Emilie Guimond-Bélanger,,,,
JOHNSON,,Stéphane Legault,,,Steve Lemay,,Benoit Lussier,,,Nancy Boyce,,,Yves-François Blanchet,,,,Julie Dionne,,,,
JOLIETTE,,Normand Masse,,,Amélie Dolbec,,Mikey Colangelo Lauzon,,,Pascal Beaupré,,,Véronique Hivon,,,,Flavie Trudel,Michel Thouin,Jean-Mathieu Desmarais,,
